,FIRE_SIZE,DC,DMC,FFMC,ISI,BUI,FWI
0,0.0,5.935775306897721e-07,0.13467572099884534,0.05177670653002627,0.6452880005830534,0.013999034849413105,0.07492245657492126
1,0.00013579576317218902,0.0007913707545273972,0.19682702755072423,0.1419995101967077,0.941475676378535,0.4452472602856138,0.16638042881518292
2,0.00027159152634437803,1.5828734151727254e-06,0.10855281251338193,0.15845425457409779,0.9096733663211518,0.12430147680059052,0.1580547883470906
3,0.0004073872895165671,6.529352837587493e-06,0.05715836050703183,0.05730131790092484,0.9714212403937718,0.2620237923023284,0.0568972310114983
4,0.0005431830526887561,5.935775306897721e-07,0.10109253126597163,0.14527220792147927,0.9113078310036059,0.17934363398139072,0.14486694182098073
5,0.0006789788158609451,1.0486536375519308e-05,0.013706577945410803,0.025325887357184197,0.9416628408609863,0.17779065899215676,0.024286529396132107
6,0.0008147745790331341,5.935775306897721e-07,0.12124612910171598,0.11367279496626292,0.865531781144607,0.06890486068877022,0.11802782311096018
7,0.0009505703422053232,5.935775306897721e-07,0.11110488226589632,0.08313309907803455,0.8140410126290483,0.04642097875964761,0.0954239329150927
8,0.0010863661053775121,5.935775306897721e-07,0.11110488226589632,0.08313309907803455,0.8140410126290483,0.04642097875964761,0.0954239329150927
9,0.0012221618685497012,5.935775306897721e-07,0.11487924360903747,0.07413570018221571,0.8132437159413218,0.04131181648473102,0.09036813150546492
10,0.0013579576317218902,5.935775306897721e-07,0.13092873428196264,0.11535244050978154,0.7483070787798539,0.017759608888193397,0.12341860101957215
11,0.0014937533948940792,5.935775306897721e-07,0.21726939731637698,0.16712796426121412,0.9144386230008698,0.13015423581105284,0.19073000855349723
12,0.0016295491580662683,5.935775306897721e-07,0.15585596857634232,0.07926412283397327,0.936522360818688,0.2510560672353362,0.10557050050229096
13,0.0017653449212384573,5.935775306897721e-07,0.15585596857634232,0.07926412283397327,0.936522360818688,0.2510560672353362,0.10557050050229096
14,0.0019011406844106464,5.935775306897721e-07,0.09047668378130355,0.06783701058500027,0.8826652043421549,0.13119637574903578,0.07758113026125948
15,0.0020369364475828354,1.5828734151727254e-06,0.10109253126597163,0.14527220792147927,0.9113078310036059,0.17934363398139072,0.14486694182098073
16,0.0021727322107550242,5.935775306897721e-07,0.08032619613806728,0.05504348306280643,0.797348080287773,0.045053091990872554,0.06519211899368503
